id,name,parentId,employer,position,hours
B,Business,,,,
I,Inforamtion,,,,
D,Design,,,,
E,Engineering,,,,
S,Soft Skills,,,,
I.SD,Software Development,I,Slalom,Sr. Principal,0.5
I.DA,Data and Analytics,I,Slalom,Sr. Principal,8
I.DB,Database Systems,I,Slalom,Sr. Principal,4
I.PL,Programming Languages,I,Slalom,Sr. Principal,2
I.WD,Web Development,I,Slalom,Sr. Principal,
I.CC,Cloud Computing,I,Slalom,Sr. Principal,4
I.CY,Cybersecurity,I,Slalom,Sr. Principal,2
I.AI,AI and ML,I,Slalom,Sr. Principal,0
I.OP,Operating Platforms,I,Slalom,Sr. Principal,0
B.MG,Management,B,Slalom,Sr. Principal,8
B.OP,Operations,B,Slalom,Sr. Principal,2
B.AD,Administration,B,Slalom,Sr. Principal,2
B.AP,Applications,B,Slalom,Sr. Principal,2
I.DA.VIS,Data Visualization,I.DA,Slalom,Sr. Principal,1
I.DA.MOD,Data Modeling,I.DA,Slalom,Sr. Principal,2
I.DA.DW,Data Warehousing,I.DA,Slalom,Sr. Principal,6
I.DA.ARC,Data Architecture,I.DA,Slalom,Sr. Principal,8
I.DA.ENG,Data Engineering,I.DA,Slalom,Sr. Principal,8
I.PL.CPP,C++,I.PL,Slalom,Sr. Principal,0
I.PL.C,C,I.PL,Slalom,Sr. Principal,0
I.PL.CSP,C#,I.PL,Slalom,Sr. Principal,0
I.PL.JS,JavaScript,I.PL,Slalom,Sr. Principal,0
I.PL.J,Java,I.PL,Slalom,Sr. Principal,0
I.PL.PY,Python,I.PL,Slalom,Sr. Principal,4
I.SD.VC,Version Control,I.SD,Slalom,Sr. Principal,4
I.SD.AG,Agile Methodologies,I.SD,Slalom,Sr. Principal,8
I.SD.CI,CI/CD,I.SD,Slalom,Sr. Principal,4
I.SD,Software Development,I,Microsoft,Localization Engr,5
I.DA,Data and Analytics,I,Microsoft,Localization Engr,5
I.DB,Database Systems,I,Microsoft,Localization Engr,5
I.PL,Programming Languages,I,Microsoft,Localization Engr,
I.WD,Web Development,I,Microsoft,Localization Engr,
I.CC,Cloud Computing,I,Microsoft,Localization Engr,5
I.CY,Cybersecurity,I,Microsoft,Localization Engr,
I.AI,AI and ML,I,Microsoft,Localization Engr,
I.OP,Operating Platforms,I,Microsoft,Localization Engr,3
B.MG,Management,B,Microsoft,Localization Engr,
B.OP,Operations,B,Microsoft,Localization Engr,2
B.AD,Administration,B,Microsoft,Localization Engr,2
B.AP,Applications,B,Microsoft,Localization Engr,
I.DA.VIS,Data Visualization,I.DA,Microsoft,Localization Engr,5
I.DA.MOD,Data Modeling,I.DA,Microsoft,Localization Engr,5
I.DA.DW,Data Warehousing,I.DA,Microsoft,Localization Engr,5
I.DA.ARC,Data Architecture,I.DA,Microsoft,Localization Engr,1
I.DA.ENG,Data Engineering,I.DA,Microsoft,Localization Engr,5
I.PL.CPP,C++,I.PL,Microsoft,Localization Engr,
I.PL.C,C,I.PL,Microsoft,Localization Engr,
I.PL.CSP,C#,I.PL,Microsoft,Localization Engr,5
I.PL.JS,JavaScript,I.PL,Microsoft,Localization Engr,
I.PL.J,Java,I.PL,Microsoft,Localization Engr,
I.PL.PY,Python,I.PL,Microsoft,Localization Engr,
I.SD.VC,Version Control,I.SD,Microsoft,Localization Engr,5
I.SD.AG,Agile Methodologies,I.SD,Microsoft,Localization Engr,5
I.SD.CI,CI/CD,I.SD,Microsoft,Localization Engr,
